id,course,region_code,region
crs_13780,La Plata,arg,Argentina
crs_33332,La Punta,arg,Argentina
crs_15626,Palermo,arg,Argentina
crs_13832,San Isidro,arg,Argentina
crs_33722,Albury,aus,Australia
crs_35308,Alice springs,aus,Australia
crs_37362,Aramac,aus,Australia
crs_30836,Ararat,aus,Australia
crs_35204,Armidale,aus,Australia
crs_13468,Ascot-Aus,aus,Australia
crs_37388,Atherton,aus,Australia
crs_35750,Avoca,aus,Australia
crs_33540,Bairnsdale,aus,Australia
crs_31590,Balaklava,aus,Australia
crs_27300,Ballarat,aus,Australia
crs_32708,Balnarring,aus,Australia
crs_37414,Barcaldine,aus,Australia
crs_28600,Bathurst,aus,Australia
crs_32838,Beaudesert,aus,Australia
crs_24492,Belmont Park-Perth,aus,Australia
crs_27352,Benalla,aus,Australia
crs_26494,Bendigo,aus,Australia
crs_37440,Bluff,aus,Australia
crs_37258,Bowen,aus,Australia
crs_28548,Bunbury,aus,Australia
crs_37466,Bundaberg,aus,Australia
crs_37492,Burrandowan,aus,Australia
crs_37518,Cairns,aus,Australia
crs_32630,Camperdown,aus,Australia
crs_16354,Canberra,aus,Australia
crs_12532,Canterbury Park,aus,Australia
crs_32604,Casterton,aus,Australia
crs_12194,Caulfield,aus,Australia
crs_28652,Cessnock,aus,Australia
crs_37544,Charleville,aus,Australia
crs_37570,Charters Town,aus,Australia
crs_19136,Cheltenham-Aus,aus,Australia
crs_37284,Cloncurry,aus,Australia
crs_32214,Colac,aus,Australia
crs_33644,Coleraine,aus,Australia
crs_38376,Corowa,aus,Australia
crs_21346,Cranbourne,aus,Australia
crs_37596,Cunnamulla,aus,Australia
crs_37622,Dalby,aus,Australia
crs_34840,Donald,aus,Australia
crs_12142,Doomben,aus,Australia
crs_12168,Eagle Farm,aus,Australia
crs_34658,Echuca,aus,Australia
crs_37648,Edenhope,aus,Australia
crs_16614,Elwick,aus,Australia
crs_37674,Emerald,aus,Australia
crs_32786,Esk,aus,Australia
crs_7722,Flemington,aus,Australia
crs_32812,Gatton,aus,Australia
crs_22282,Gawler,aus,Australia
crs_37700,Gayndah,aus,Australia
crs_21372,Geelong,aus,Australia
crs_37232,Geelong-AW,aus,Australia
crs_37310,Gladstone,aus,Australia
crs_22386,Gold Coast,aus,Australia
crs_37336,Goondiwindi,aus,Australia
crs_37726,Gordonvale,aus,Australia
crs_27222,Gosford,aus,Australia
crs_32344,Goulburn,aus,Australia
crs_28522,Grafton,aus,Australia
crs_36062,Great Western,aus,Australia
crs_37752,Gregory Downs,aus,Australia
crs_34996,Gundagai,aus,Australia
crs_32370,Hamilton-Aus,aus,Australia
crs_32526,Hanging Rock,aus,Australia
crs_17160,Hawkesbury,aus,Australia
crs_31226,Hobart,aus,Australia
crs_37778,Home Hill,aus,Australia
crs_37804,Horsham,aus,Australia
crs_37830,Hughenden,aus,Australia
crs_37856,Injune,aus,Australia
crs_37882,Innisfail,aus,Australia
crs_26468,Ipswich,aus,Australia
crs_37908,Jandowae,aus,Australia
crs_34008,Kalgoorlie,aus,Australia
crs_21138,Kembla Grange,aus,Australia
crs_25090,Kensington,aus,Australia
crs_25480,Kilmore,aus,Australia
crs_26624,Kyneton,aus,Australia
crs_31382,Launceston,aus,Australia
crs_37934,Longreach,aus,Australia
crs_37960,Mackay,aus,Australia
crs_35672,Manangatang,aus,Australia
crs_37986,Mildura,aus,Australia
crs_32734,Moe,aus,Australia
crs_7774,Moonee Valley,aus,Australia
crs_21424,Mornington,aus,Australia
crs_12012,Morphettville,aus,Australia
crs_32032,Morphettville Parks,aus,Australia
crs_37050,Moruya,aus,Australia
crs_38012,Mount Garnet,aus,Australia
crs_38038,Mount Isa,aus,Australia
crs_17706,Mowbray,aus,Australia
crs_22308,Murray Bridge,aus,Australia
crs_32110,Murtoa,aus,Australia
crs_28626,Muswellbrook,aus,Australia
crs_38064,Nanango,aus,Australia
crs_38090,Naracoorte,aus,Australia
crs_17914,Newcastle-Aus,aus,Australia
crs_35880,Northam,aus,Australia
crs_32292,Nowra,aus,Australia
crs_27950,Oakbank,aus,Australia
crs_38116,Oakley,aus,Australia
crs_36166,Orange,aus,Australia
crs_30940,Pakenham,aus,Australia
crs_38142,Penola,aus,Australia
crs_29510,Pinjarra,aus,Australia
crs_38168,Port Augusta,aus,Australia
crs_32318,Port Macquarie,aus,Australia
crs_28496,Queanbeyaan,aus,Australia
crs_38194,Quilpie,aus,Australia
crs_12246,Randwick,aus,Australia
crs_38220,Rockhampton,aus,Australia
crs_8086,Rosehill,aus,Australia
crs_27274,Sale,aus,Australia
crs_12480,Sandown-Aus,aus,Australia
crs_32682,Scone,aus,Australia
crs_26572,Seymour,aus,Australia
crs_26598,Stawell,aus,Australia
crs_37102,Stony Creek,aus,Australia
crs_22334,Strathalbyn,aus,Australia
crs_23322,Sunshine Coast,aus,Australia
crs_27404,Swan Hill,aus,Australia
crs_37206,Tambo,aus,Australia
crs_38350,Tatura,aus,Australia
crs_32188,Terang,aus,Australia
crs_38246,Thangool,aus,Australia
crs_24284,Toowoomba,aus,Australia
crs_38272,Tower Hill,aus,Australia
crs_38298,Townsville,aus,Australia
crs_34788,Traralgon,aus,Australia
crs_20826,Victoria Park,aus,Australia
crs_28470,Wagga Wagga,aus,Australia
crs_27326,Wangaratta,aus,Australia
crs_26520,Warraknabeal,aus,Australia
crs_32084,Warrnambool,aus,Australia
crs_13442,Warwick Farm,aus,Australia
crs_34684,Wellington,aus,Australia
crs_21398,Werribee,aus,Australia
crs_34918,Wodonga,aus,Australia
crs_38324,Wondai,aus,Australia
crs_32266,Wyeera,aus,Australia
crs_28678,Wyong,aus,Australia
crs_30888,Yarra Valley,aus,Australia
crs_35022,York-Aus,aus,Australia
crs_32396,Young,aus,Australia
crs_30654,Ebreichsdorf,aut,Austria
crs_22100,Freudenau,aut,Austria
crs_29562,Magna racino,aut,Austria
crs_22594,Sakhir,bhr,Bahrain
crs_37154,Garrison,bar,Barbados
