feature,importance
horse_pct_top_half_finishes,14784.3046875
horse_pct_within_3_lengths,14755.587890625
horse_avg_ovr_btn_last_5,10791.8125
horse_place_rate,9700.34765625
distance_f,7990.75244140625
going_encoded,7010.1474609375
surface_encoded,6219.66064453125
rpr,6067.60009765625
tsr_vs_field_avg,5012.01611328125
horse_speed_vs_track_record,4762.11376953125
top_3_rpr_avg,4657.96142578125
weight_lbs,4609.10791015625
field_size,4322.158203125
course_specialist,4015.13330078125
horse_best_speed_career,3947.6123046875
trainer_course_win_rate,3720.6328125
win_rate_at_distance,3669.0615234375
pace_pressure_likely,3634.74658203125
horse_best_btn_career,3541.915283203125
ofr,3532.0712890625
speed_improving,3517.528564453125
horse_ovr_btn_improving,3517.330810546875
horse_rpr_rank,3512.89990234375
trainer_wins_last_14d,3509.218017578125
high_draw_advantage,3432.3623046875
field_best_rpr,3364.793212890625
course_win_rate,3158.32666015625
horse_avg_position,2894.327880859375
distance_from_optimal,2885.595458984375
field_avg_rpr,2840.92919921875
horse_ovr_btn_vs_field,2750.345703125
trainer_runs_last_14d,2670.93994140625
horse_rpr_vs_worst,2650.255859375
draw,2630.032958984375
trainer_win_rate_recent,2627.0283203125
horse_btn_vs_winner_percentile,2559.91650390625
weight_lbs_rank,2558.778076171875
horse_rpr_vs_best,2542.350830078125
prize_money,2487.41357421875
horse_course_wins,2441.521240234375
field_rpr_spread,2405.16162109375
ts,2382.907470703125
weight_vs_avg,2372.382080078125
horse_is_filly_mare,2368.836669921875
dropping_in_class,2339.086181640625
runner_number,2329.798828125
course_place_rate,2327.1845703125
rating_vs_avg,2278.70849609375
horse_avg_tsr_last_5,2245.72998046875
horse_btn_consistency,2240.3466796875
runs_at_distance,2233.252197265625
age_rank,2227.2099609375
jockey_course_win_rate,2214.478759765625
age_vs_avg,2183.725341796875
race_class_encoded,2163.97802734375
rising_in_class,2156.5517578125
horse_btn_vs_field_avg,2153.5498046875
best_distance_f,2086.56103515625
course_distance_draw_bias,2071.46240234375
horse_days_since_last,2063.886474609375
class_change,2062.531494140625
class_last_3_avg,2061.92578125
field_worst_rpr,2035.9317626953125
horse_form_last_5_avg,2028.310546875
horse_best_rating,2019.05908203125
horse_win_rate,1927.6212158203125
horse_speed_consistency,1890.453857421875
horse_best_tsr,1888.4149169921875
draw_position_normalized,1855.31298828125
horse_consistency,1840.28173828125
horse_avg_btn_last_5,1836.47509765625
horse_btn_improving,1796.2991943359375
horse_median_btn_last_5,1782.4039306640625
horse_in_top_quartile,1748.2193603515625
horse_speed_last_3_avg,1670.390625
horse_avg_speed_furlongs_per_sec,1653.9354248046875
horse_sex_encoded,1652.7503662109375
horse_going_win_rate,1650.9578857421875
horse_is_gelding,1636.1944580078125
headgear_encoded,1603.533935546875
horse_distance_win_rate,1596.6893310546875
course_runs,1543.408203125
typical_running_style,1468.943603515625
horse_career_runs,1329.9342041015625
going_change_adaptation,1286.8604736328125
horse_weight_performance_trend,1183.077392578125
low_draw_advantage,999.55029296875
horse_soft_going_speed_ratio,986.5982055664062
horse_career_wins,957.2200927734375
horse_age,905.003662109375
