feature,importance
distance_f,0.0031660536769777536
going_encoded,0.0025678547099232674
prize_money,0.0018232977017760277
horse_best_speed_career,0.0014499276876449585
race_class_encoded,0.0006202569929882884
horse_speed_vs_track_record,0.0005932817584834993
weight_lbs,0.0004179778043180704
surface_encoded,0.0003300496027804911
horse_pct_within_3_lengths,0.0003176938625983894
ts,0.0002834750048350543
rpr,0.000269983516773209
horse_place_rate,0.00023960643738973886
horse_speed_last_3_avg,0.00021473021479323506
horse_age,0.00015758402878418565
horse_best_btn_career,0.00014839759387541562
low_draw_advantage,0.0001339892769465223
field_best_rpr,0.00013296885299496353
horse_btn_vs_winner_percentile,0.0001134317644755356
horse_sex_encoded,0.00011274724965915084
field_size,0.00011051989713450894
horse_avg_speed_furlongs_per_sec,0.00010645574366208166
course_runs,0.0001036805915646255
field_avg_rpr,0.00010168421431444585
pace_pressure_likely,0.00010109488357556984
horse_best_rating,9.789776231627911e-05
top_3_rpr_avg,9.689892613096163e-05
horse_pct_top_half_finishes,9.357582166558132e-05
field_worst_rpr,9.23219631658867e-05
horse_avg_tsr_last_5,9.047507046489045e-05
high_draw_advantage,8.921689004637301e-05
field_rpr_spread,8.846649870974943e-05
class_last_3_avg,8.62479573697783e-05
rising_in_class,8.376207551918924e-05
runs_at_distance,8.285872172564268e-05
horse_best_tsr,7.599913806188852e-05
horse_distance_win_rate,7.596697832923383e-05
horse_career_runs,7.235527300508693e-05
trainer_course_win_rate,7.066518446663395e-05
jockey_course_win_rate,6.765703437849879e-05
trainer_wins_last_14d,6.547894008690491e-05
course_distance_draw_bias,6.430195935536176e-05
class_change,6.363928696373478e-05
draw,5.987715849187225e-05
weight_vs_avg,5.853729817317799e-05
age_vs_avg,5.781355866929516e-05
trainer_runs_last_14d,5.61951965210028e-05
horse_days_since_last,5.5312943004537374e-05
best_distance_f,5.486413283506408e-05
horse_avg_position,5.454688289319165e-05
typical_running_style,5.434812919702381e-05
horse_speed_consistency,5.431161480373703e-05
horse_median_btn_last_5,5.3175215725786984e-05
horse_avg_btn_last_5,5.227262954576872e-05
distance_from_optimal,5.15542778884992e-05
horse_is_filly_mare,5.1477843953762203e-05
horse_btn_vs_field_avg,5.054058783571236e-05
horse_rpr_vs_worst,4.9002097512129694e-05
trainer_win_rate_recent,4.87826946482528e-05
weight_lbs_rank,4.846694355364889e-05
horse_ovr_btn_improving,4.833549974136986e-05
horse_going_win_rate,4.699580676970072e-05
horse_rpr_vs_best,4.669561894843355e-05
going_change_adaptation,4.444102887646295e-05
tsr_vs_field_avg,4.3726082367356867e-05
horse_ovr_btn_vs_field,4.344049375504255e-05
rating_vs_avg,4.1918909118976444e-05
horse_rpr_rank,4.1332623368361965e-05
horse_is_gelding,4.078787242178805e-05
horse_avg_ovr_btn_last_5,4.075458855368197e-05
draw_position_normalized,3.873001332976855e-05
ofr,3.57686476490926e-05
horse_career_wins,3.5508153814589605e-05
age_rank,3.529732202878222e-05
win_rate_at_distance,3.483204636722803e-05
course_win_rate,3.4280332329217345e-05
horse_form_last_5_avg,3.4123255318263546e-05
horse_btn_consistency,3.402431320864707e-05
horse_consistency,3.2957192161120474e-05
course_place_rate,3.286191713414155e-05
horse_win_rate,3.2044845283962786e-05
headgear_encoded,3.1757888791617006e-05
horse_weight_performance_trend,3.165460657328367e-05
course_wins,3.141515117022209e-05
horse_soft_going_speed_ratio,3.034188375750091e-05
runner_number,2.9979191822349094e-05
horse_btn_improving,2.983705053338781e-05
speed_improving,2.653651245054789e-05
horse_in_top_quartile,2.3250157028087415e-05
horse_course_wins,2.2126114345155656e-05
dropping_in_class,1.9361526938155293e-05
