feature,importance
horse_place_rate,0.00021715920593123883
horse_pct_top_half_finishes,0.00013270971248857677
horse_pct_within_3_lengths,7.457614265149459e-05
surface_encoded,6.600395863642916e-05
rpr,6.029161886544898e-05
going_encoded,5.85339694225695e-05
distance_f,5.44335889571812e-05
pace_pressure_likely,4.968599751009606e-05
field_best_rpr,4.369770977064036e-05
trainer_wins_last_14d,4.312587407184765e-05
field_size,4.2769144783960655e-05
tsr_vs_field_avg,4.2139829020015895e-05
horse_rpr_rank,4.161471588304266e-05
horse_ovr_btn_vs_field,4.054213786730543e-05
horse_ovr_btn_improving,3.7737245293101296e-05
trainer_course_win_rate,3.605301753850654e-05
horse_best_btn_career,3.249827568652108e-05
best_distance_f,3.0221548513509333e-05
horse_rpr_vs_best,2.9007438570261e-05
horse_speed_vs_track_record,2.9001212169532664e-05
race_class_encoded,2.857997787941713e-05
rising_in_class,2.7147503715241328e-05
dropping_in_class,2.664219937287271e-05
course_runs,2.6610718123265542e-05
trainer_win_rate_recent,2.651061731739901e-05
horse_avg_position,2.4762730390648358e-05
horse_course_wins,2.4692461010999978e-05
prize_money,2.465021316311322e-05
field_avg_rpr,2.417320865788497e-05
ts,2.4132781618391164e-05
jockey_course_win_rate,2.359211430302821e-05
horse_avg_btn_last_5,2.3374885131488554e-05
top_3_rpr_avg,2.3362603315035813e-05
draw,2.2964781237533316e-05
class_last_3_avg,2.2639298549620435e-05
horse_days_since_last,2.254285936942324e-05
horse_avg_ovr_btn_last_5,2.1892159566050395e-05
horse_going_win_rate,2.1322064640116878e-05
field_rpr_spread,2.124239836120978e-05
horse_best_tsr,2.101600512105506e-05
horse_btn_vs_field_avg,2.071682501991745e-05
runner_number,2.0248673536116257e-05
rating_vs_avg,1.9928598703700118e-05
horse_rpr_vs_worst,1.9634639102150686e-05
headgear_encoded,1.9285585949546658e-05
horse_age,1.9154818801325746e-05
horse_in_top_quartile,1.9015291400137357e-05
age_vs_avg,1.8797922166413628e-05
trainer_runs_last_14d,1.8700278815231286e-05
class_change,1.8591037587611936e-05
field_worst_rpr,1.8546597857493907e-05
horse_sex_encoded,1.842192250478547e-05
horse_speed_last_3_avg,1.8208264009444974e-05
horse_btn_improving,1.8010454368777573e-05
high_draw_advantage,1.75798122654669e-05
horse_is_gelding,1.757330392138101e-05
horse_best_speed_career,1.7510337784187868e-05
horse_median_btn_last_5,1.743319444358349e-05
horse_career_runs,1.7359927369398065e-05
typical_running_style,1.7251870303880423e-05
low_draw_advantage,1.7162288713734597e-05
horse_btn_vs_winner_percentile,1.7007438145810738e-05
horse_best_rating,1.6705322195775807e-05
horse_consistency,1.6644522474962287e-05
horse_avg_tsr_last_5,1.661052920098882e-05
age_rank,1.655833148106467e-05
ofr,1.6250800399575382e-05
horse_form_last_5_avg,1.624703872948885e-05
speed_improving,1.5915013136691414e-05
course_place_rate,1.5716659618192352e-05
horse_avg_speed_furlongs_per_sec,1.5702476957812905e-05
horse_speed_consistency,1.569068626849912e-05
weight_vs_avg,1.5566032743663527e-05
horse_is_filly_mare,1.51941521835397e-05
going_change_adaptation,1.5105923921510112e-05
course_distance_draw_bias,1.5038865967653692e-05
draw_position_normalized,1.5024023014120758e-05
distance_from_optimal,1.493956551712472e-05
weight_lbs,1.4563792319677304e-05
runs_at_distance,1.4159793863655068e-05
weight_lbs_rank,1.4041615031601395e-05
win_rate_at_distance,1.3891191883885767e-05
horse_career_wins,1.3723375559493434e-05
horse_btn_consistency,1.3257214959594421e-05
horse_distance_win_rate,1.2293619874981232e-05
horse_win_rate,1.219263685925398e-05
horse_weight_performance_trend,1.2064100701536518e-05
horse_soft_going_speed_ratio,1.0740254765551072e-05
course_win_rate,8.064900612225756e-06
course_wins,6.9822854129597545e-06
course_specialist,5.549805791815743e-06
