feature,train_missing_pct,test_missing_pct,difference,train_null,train_nan_after_convert
trainer_hot_streak,100.0,100.0,0.0,216988,0
trainer_form_with_horse,100.0,100.0,0.0,216988,0
class_change,100.0,100.0,0.0,216988,0
class_last_3_avg,100.0,100.0,0.0,216988,0
horse_beaten_by_quality,100.0,100.0,0.0,216988,0
race_competitiveness,100.0,100.0,0.0,216988,0
field_quality_rating,100.0,100.0,0.0,216988,0
horse_speed_improving_new,100.0,100.0,0.0,216988,0
dam_produce_win_rate,100.0,100.0,0.0,216988,0
sire_surface_win_rate,100.0,100.0,0.0,216988,0
sire_distance_win_rate,100.0,100.0,0.0,216988,0
jockey_distance_win_rate,100.0,100.0,0.0,216988,0
horse_consistency,76.4355632569543,78.98685641602302,2.5512931590687202,165856,0
horse_form_last_5_avg,47.23993953582686,50.69589101701476,3.4559514811878955,102505,0
age_rank,9.066860840230797,49.05156045495603,39.98469961472524,19674,0
age_vs_avg,9.066860840230797,49.05156045495603,39.98469961472524,19674,0
horse_age,9.066860840230797,49.05156045495603,39.98469961472524,19674,0
ts,38.962523273176394,30.523346913193354,-8.43917635998304,84544,0
horse_in_top_quartile,26.36228731542758,26.576584880269877,0.21429756484229756,57203,0
horse_rpr_vs_worst,26.36228731542758,26.576584880269877,0.21429756484229756,57203,0
rating_vs_avg,26.36228731542758,26.576584880269877,0.21429756484229756,57203,0
horse_best_rating,26.36228731542758,26.576584880269877,0.21429756484229756,57203,0
ofr,26.36228731542758,26.576584880269877,0.21429756484229756,57203,0
horse_rpr_vs_best,26.36228731542758,26.576584880269877,0.21429756484229756,57203,0
horse_rpr_rank,26.36228731542758,26.576584880269877,0.21429756484229756,57203,0
race_class_encoded,29.221892454882298,25.225358084318028,-3.9965343705642695,63408,0
tsr_vs_field_avg,30.798016480174017,19.953177134219406,-10.844839345954611,66828,0
horse_avg_tsr_last_5,30.798016480174017,19.953177134219406,-10.844839345954611,66828,0
horse_best_tsr,30.798016480174017,19.953177134219406,-10.844839345954611,66828,0
field_rpr_spread,18.018968790900878,18.1595295592383,0.14056076833742281,39099,0
top_3_rpr_avg,18.018968790900878,18.1595295592383,0.14056076833742281,39099,0
field_avg_rpr,18.018968790900878,18.1595295592383,0.14056076833742281,39099,0
field_worst_rpr,18.018968790900878,18.1595295592383,0.14056076833742281,39099,0
field_best_rpr,18.018968790900878,18.1595295592383,0.14056076833742281,39099,0
course_distance_draw_bias,26.688111784983505,17.39266687558759,-9.295444909395915,57910,0
rpr,11.322285103323686,10.170147657935,-1.1521374453886857,24568,0
horse_avg_position,14.87040758014268,9.174700905119177,-5.695706675023503,32267,0
best_distance_f,14.87040758014268,9.174700905119177,-5.695706675023503,32267,0
distance_from_optimal,14.87040758014268,9.174700905119177,-5.695706675023503,32267,0
horse_days_since_last,14.815565837742179,9.14889302634247,-5.6666728113997085,32148,0
draw_position_normalized,0.6161631057938688,0.7189337659225395,0.10277066012867075,1337,0
draw,0.34057182885689535,0.4995667963205339,0.15899496746363856,739,0
low_draw_advantage,0.34057182885689535,0.4995667963205339,0.15899496746363856,739,0
high_draw_advantage,0.34057182885689535,0.4995667963205339,0.15899496746363856,739,0
runner_number,0.2806606816966837,0.3336590041845632,0.0529983224878795,609,0
surface_encoded,0.0,0.0,0.0,0,0
horse_pct_top_half_finishes,0.0,0.0,0.0,0,0
horse_weather_performance,0.0,0.0,0.0,0,0
horse_soft_going_speed_ratio,0.0,0.0,0.0,0,0
horse_place_rate,0.0,0.0,0.0,0,0
trainer_course_win_rate,0.0,0.0,0.0,0,0
horse_course_wins,0.0,0.0,0.0,0,0
horse_ovr_btn_improving,0.0,0.0,0.0,0,0
horse_ovr_btn_vs_field,0.0,0.0,0.0,0,0
going_change_adaptation,0.0,0.0,0.0,0,0
horse_avg_ovr_btn_last_5,0.0,0.0,0.0,0,0
horse_btn_consistency,0.0,0.0,0.0,0,0
horse_best_btn_career,0.0,0.0,0.0,0,0
horse_btn_vs_winner_percentile,0.0,0.0,0.0,0,0
horse_btn_vs_field_avg,0.0,0.0,0.0,0,0
horse_pct_within_3_lengths,0.0,0.0,0.0,0,0
horse_btn_improving,0.0,0.0,0.0,0,0
rail_position_advantage,0.0,0.0,0.0,0,0
horse_weight_adjusted_rating,0.0,0.0,0.0,0,0
horse_avg_btn_last_5,0.0,0.0,0.0,0,0
horse_weight_performance_trend,0.0,0.0,0.0,0,0
trainer_win_rate_recent,0.0,0.0,0.0,0,0
trainer_runs_last_14d,0.0,0.0,0.0,0,0
trainer_wins_last_14d,0.0,0.0,0.0,0,0
win_rate_at_distance,0.0,0.0,0.0,0,0
runs_at_distance,0.0,0.0,0.0,0,0
trainer_win_rate_90d,0.0,0.0,0.0,0,0
trainer_strike_rate,0.0,0.0,0.0,0,0
course_specialist,0.0,0.0,0.0,0,0
course_place_rate,0.0,0.0,0.0,0,0
course_win_rate,0.0,0.0,0.0,0,0
course_wins,0.0,0.0,0.0,0,0
course_runs,0.0,0.0,0.0,0,0
rising_in_class,0.0,0.0,0.0,0,0
dropping_in_class,0.0,0.0,0.0,0,0
horse_career_wins,0.0,0.0,0.0,0,0
horse_win_rate,0.0,0.0,0.0,0,0
market_position_tier,0.0,0.0,0.0,0,0
horse_median_btn_last_5,0.0,0.0,0.0,0,0
horse_distance_win_rate,0.0,0.0,0.0,0,0
horse_speed_consistency,0.0,0.0,0.0,0,0
weight_lbs_rank,0.0,0.0,0.0,0,0
jockey_win_rate_14d,0.0,0.0,0.0,0,0
jockey_win_rate_90d,0.0,0.0,0.0,0,0
jockey_strike_rate,0.0,0.0,0.0,0,0
jockey_course_win_rate,0.0,0.0,0.0,0,0
jockey_roi,0.0,0.0,0.0,0,0
jockey_rating,0.0,0.0,0.0,0,0
combo_win_rate,0.0,0.0,0.0,0,0
combo_strike_rate,0.0,0.0,0.0,0,0
speed_improving,0.0,0.0,0.0,0,0
weight_vs_avg,0.0,0.0,0.0,0,0
combo_runs,0.0,0.0,0.0,0,0
headgear_encoded,0.0,0.0,0.0,0,0
field_size,0.0,0.0,0.0,0,0
distance_f,0.0,0.0,0.0,0,0
going_encoded,0.0,0.0,0.0,0,0
weight_lbs,0.0,0.0,0.0,0,0
trainer_rating,0.0,0.0,0.0,0,0
horse_career_runs,0.0,0.0,0.0,0,0
horse_speed_vs_track_record,0.0,0.0,0.0,0,0
trainer_14d_runs,0.0,0.0,0.0,0,0
prize_money,0.0,0.0,0.0,0,0
horse_speed_last_3_avg,0.0,0.0,0.0,0,0
horse_best_speed_career,0.0,0.0,0.0,0,0
